ID;type;length;Replicate;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F1415;F1617;F18
TU1062;transcript;1336;1;0;0;2;0;6;18;24;7;6;7;6;7;6;0;0;0
TU1063;transcript;611;1;0;1;4;5;70;268;608;222.5;124;76;50.5;32;16;8;8;6
TU1064;transcript;100;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TU1065;transcript;305;1;0;0;0;0;3;20;23;6.5;4;5;6.5;0;0;1;0;0
TU1066;transcript;421;1;0;0;1;0;9.5;19;30.5;17;6.5;1.5;0;4.5;0;0;0;0
TU1067;transcript;2107;1;0;0.5;1;2;13.5;54.5;82.5;50;25.5;34;18.5;17.5;8;1;1;2
TU1068;transcript;100;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
TU1069;transcript;381;1;0;0;0;2;2;9.5;10.5;10;11;4.5;0.5;3;0;0;1.5;0
TU107;transcript;2418;1;0;0;0;2;33;139.5;259;92;70;38;26;38;10;6;6;0
TU1070;transcript;1487;1;0;0;6;11;84;276;518;192.5;89;80.5;34;59;32.5;15;26.5;0
TU1071;transcript;743;1;0;0;0;0;5;13;32;10;3;2;5;6;4;2;5;1
TU1072;transcript;172;1;0;0;0;0;0;0;2.5;1.5;1;2.5;0;0;0.5;0;0;0
TU1073;transcript;102;1;0;0;0;0;1;2;0;3;0;4;0;1;0;0;2;0
TU1074;transcript;1095;1;0;0;0;0;4;8;10;5.5;8;4;13;3;0;0;0;0
TU1075;transcript;258;1;0;0;0;0;0;2;1;1;1;0;0;1;0;0;0;0
TU1076;transcript;134;1;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0
TU1077;transcript;193;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
TU1078;transcript;1399;1;0;1;22;9;51;166;445;244;177;163.5;79;66;20;11;12;2
TU1079;transcript;102;1;0;0;0;0;2;0.33;0;0;0;0;0;0;0;0;0;0
TU108;transcript;1461;1;0;0;6;3;27;104;167;82;44;55;22;35;26;4;7;0
TU1080;transcript;339;1;0;0;0;0;0;6;3;7;3;4;0;0;0;0;0;0
TU1081;transcript;1446;1;0;0;0;0;3;9;29.5;19;7;6.5;6;1;2;0;0;0
TU1082;transcript;279;1;0;0;0;0;0;2;0.5;0;0;2;0;0;0;0;0;0
TU1083;transcript;1577;1;0;0;0;0;9;41;60.5;30;19;22;15;15;3;0;0;0
TU1084;transcript;460;1;2;2;6;13;180.5;816.5;1729.5;667;355;337;198.5;185.5;72.5;27.5;33;3.5
TU1085;transcript;110;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0
TU1086;transcript;195;1;2;0;0;1.5;7;60;168;87;89;66;51;52;21.5;6.5;13.5;0.5
TU1087;transcript;255;1;0;0;1;0.5;1;25.5;59;27.5;19;13;8.5;10.5;0;4;1.5;0
TU1088;transcript;229;1;0;0;1;0;2.5;5;16.5;6.5;9;10;4;2;0;0;4;0
TU1089;transcript;5176;1;0;1;9;11;107;350;931.5;320;314;283.5;189;195;88;47;37;8
TU109;transcript;102;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
TU1090;transcript;118;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
TU1091;transcript;1942;1;0;0;14.5;6;54.5;176;363;165;77;60;47;43;28;20;22;4
TU1092;transcript;3367;1;0;0;2;3;11;24.33;80;40;43;8;14;9;5;2;3;1
TU1093;transcript;353;1;0;0;1;0;4;1;7;11;3;4;0;0;1;0;0;0
TU1094;transcript;423;1;0;0;0;0;0;7;13;2;2;0;2;0;1;0;2;0
TU1095;transcript;2737;1;0;1;0;4;6;13;20;17;13;5.25;7;4.5;2;1;1.5;0
TU1096;transcript;100;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
TU1097;transcript;98;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
TU1098;transcript;528;1;0;0;0;0;2;6;27;12;3;3;2;0;0;0;0;0
TU1099;transcript;102;1;0;0;0;0;0;2;1;2;2;2;0;0;2;0;0;0
TU11;transcript;76;1;0;0;0;1;0;0.5;1;0;1.5;0;1;1.5;0;0;0;0
TU110;transcript;366;1;0;0;0;0;1;0;7;3;1;2;0;0;0;0;0;0
TU1100;transcript;1804;1;0;0;0;7;8.5;39;84;57;48;28.5;31;14;12;2;5;0
TU1101;transcript;2671;1;0;0;4;5;35.5;107;242;104;87;83.5;36;33;25;2;10;2
TU1102;transcript;100;1;0;0;0;0;0;4;3;4;0;3;4;0;0;0;0;0
TU1103;transcript;304;1;0;0;0;0;0;6;18;13;4;4;6;7;2;0;4;0
TU1104;transcript;245;1;0;0;0;0;0;0;0;0;1;2;1;1;0;0;0;0
TU1105;transcript;458;1;0;0;0.1;0;5.5;8.5;38;14.5;16;8;4;6;0;2;0;0
TU1106;transcript;438;1;0;0;0.1;0;1.5;2.5;3;4;12;0;2;0;0;0;0;0
TU1107;transcript;182;1;0;0;0;1;0;3;4;0.5;0;0;0;2;0;2;1;0
TU1108;transcript;958;1;0;1;2;6;14;57;123;69;57;31;17;20;2;0;0;0
TU1109;transcript;832;1;0;0;0;0;0;4;19;16;4;3;0;0;2;0;0;0
TU111;transcript;2103;1;0;0.2;0.27;0.09;2.3;4.17;10.49;15.1;8.94;1.46;2.48;2.22;0;0;0;0
TU1110;transcript;1145;1;0;0;7;3;15;22;45;16;13;9;4;6;2;0;2;2
TU1111;transcript;1747;1;16;302;10234.5;8222.33;12939.5;7401.33;9269.5;1203;718;661;1174;409;110;238;289.25;170
TU1112;transcript;102;1;0;0;2;0;0;3;2;4;0;3;4;2;0;0;0;0
TU1113;transcript;383;1;0;0;0;0;0;6;15;4;0;0;1;1;2;0;0;0
TU1114;transcript;100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TU1115;transcript;102;1;0;0;0;0;0;0;4;2;1;2;0;0;0;0;0;0
TU1116;transcript;252;1;0;0;0;1;0;12;18;5;5;3;4;0;0;0;0;0
TU1117;transcript;102;1;0;0;0;0;2;4;2.33;0;5;0;2;2;0;0;2;0
TU1118;transcript;109;1;0;0;0;0;4;17;14;3;2;0;0;0;2;0;0;0
TU1119;transcript;374;1;0;0;1;0;0;4;25;3;4;6;2;2;0;0;0;0
TU112;transcript;3067;1;0;0;2.2;0.09;11.01;7.13;34.58;34.02;16.26;10.76;9.75;11.62;3.22;2.32;7.11;2
TU1120;transcript;1142;1;0;0;0;1;11;17;72;32;24;19;3;7;4;0;0;0
TU1121;transcript;170;1;0;0;0;0;1.5;9;15.5;0;2;3.5;3.5;1.5;0;1.5;0;0
TU1122;transcript;1300;1;0;0;0;1;0.5;13;45.5;12;5;4.5;11.5;4.5;2;2.5;3;2
TU1123;transcript;116;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
TU1124;transcript;670;1;0;0;0;0;4;23;5;1;7;4;1;1;0;0;0;0
TU1125;transcript;2683;1;70;329;23198;41576.5;61289;43400;57353;10036;5568;3526;5306;1473;490;509;867;337
TU1126;transcript;100;1;0;0;0;0;0;2;0;1;1;0;1;0;0;0;0;0
TU1127;transcript;100;1;0;0;0;0;1;0;1;0;2;0;0;1;0;0;0;0
TU1128;transcript;101;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TU1129;transcript;2195;1;0;4;6.2;8.2;39.32;175.98;304.65;146.19;133.06;72.34;66.77;56.5;27;8.21;15.11;2.1
TU113;transcript;2142;1;0;2;10;10;192;915;1697;640;398;221.5;207;137;77;24;27;6
TU1130;transcript;541;1;0;0;0.04;0.31;0.1;1.01;1.64;4.31;2.95;0.72;0.43;0;0;0.1;0.21;0
TU1131;transcript;5164;1;0;0;1.09;2;9.12;62.05;91.56;42.47;38.98;40.33;16;19;8;13;25;3
TU1132;transcript;285;1;0;0;0;0;0;3;1;4;1;2;1;0;0;0;0;0
TU1133;transcript;100;1;0;0;0;0;0;1.5;0;1;1;2;0;0;0;0;0;0
TU1134;transcript;637;1;0;0;0;2;0;1.5;13;13;3;5;2;4;2;0;0;0
TU1135;transcript;817;1;0;0;0;0;0.28;3;10;2;4;0;2;4;2;0;0;0
TU1136;transcript;1245;1;0;0;1.5;0;0;3;5;5;11;3;0;4;2;0;0;0
TU1137;transcript;346;1;1;0;0;0;0;0;0;3;2;0;2;4;0;0;0;0
TU1138;transcript;51;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
TU1139;transcript;2511;1;0;0;0;3;19;61;152.5;73;35;35;28;12;14;5;1;0
TU114;transcript;1000;1;0;0;0;1;1;15;19;6.5;6;6.5;3;0;2;0;0;1
TU1140;transcript;1882;1;0;0;1;0;2;23;44;21;7;11;4;2;0;2;4;2
TU1141;transcript;4945;1;2;5;56;106.5;236;452;835;316.5;166;112;77;40;12;6;12;0
TU1142;transcript;107;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TU1143;transcript;285;1;0;0;0;0;1;0;2;3;1;2;0;0;0;0;0;0
TU1144;transcript;504;1;0;0;5;11.33;141.33;551;896;161;79;72.5;34;36;18;4;9.5;4
TU1145;transcript;425;1;0;0;0;2;3;21;23;19.5;1;6.5;0;6;4;0;0;0
TU1146;transcript;55;1;0;0;0;0.83;0.83;3;6.5;2.5;3.5;1.5;0;1.5;0;0;0.5;0.5
TU1147;transcript;136;1;0;0;0;0;0;1;3;0.5;0.5;1;0;0;0;0;0;0
TU1148;transcript;372;1;0;0;0;0.83;2.83;8;14.5;14.5;4.5;0;0;2.5;0;0;0;1.5
TU1149;transcript;128;1;0;0;0;0;0.5;2;5.5;2;0.5;1.5;0;0;0;0;0;0
TU115;transcript;933;1;0;0;0;0;0.5;3.5;7;4.5;0;0;0;0;1;1;0;0
TU1150;transcript;2748;1;0;0;2;0;19.5;64;173.33;65;59.5;24.5;23.5;18;13;2;0.5;0
TU1151;transcript;811;1;0;0;0;0;6;12;31.5;15;9.5;8.5;2.5;5;4;4;1.5;2
TU1152;transcript;1126;1;0;0;7;11;51;133;360;185;166;125;69;79;23;8;15;1
TU1153;transcript;2026;1;2;0;3.33;8;57;234;410;139;112;81;68;44;15;12;14;2
TU1154;transcript;300;1;0;0;0;0;0;0;2;1;2;1;0;0;0;0;0;0
TU1155;transcript;611;1;0;1;0;1;5;39.5;73.5;20.5;19.5;16;18;14.5;3.5;6;5;1
TU1156;transcript;195;1;0;0;0;0;0;5.5;5.5;1.5;3.5;1;1;0.5;0.5;0;0;0
TU1157;transcript;1117;1;0;1;0;6;11;63;154;48;54;48;30;31;21;9;6;0
TU1158;transcript;198;1;0;0;0;0;0;0;9;2;1;0;0;0;0;2;0;0
TU1159;transcript;1859;1;0;0;0;3;8;57;101.5;71;69;51;40;47.5;33;16;18;0
TU116;transcript;649;1;0;0;0;0;3;6.5;20;3.5;3;1;3;5;0;0;0;0
TU1160;transcript;188;1;0;0;0;0;0;0;9;3;2.5;1.5;1.5;1.5;0;0;1.5;0
TU1161;transcript;1530;1;0;0;0.5;0;4;19;32.5;24;14.5;5.5;9.5;10;0;4;8.5;2
TU1162;transcript;352;1;0;0;0;0;0;3;5;3;3;0;0;0;0;0;0;0
TU1163;transcript;985;1;0;0;1;8;1;19;55;20;19;11;6;4;2;0;2;0
TU1164;transcript;102;1;0;0;0;0;1;0;2;0;0;2;0;0;0;0;0;0
TU1165;transcript;243;1;0;0;0;0;0;3;6;2;1;2;2;0.5;0;0;0;0
TU1166;transcript;152;1;0;0;0;0;0;0;4;4;1;0;0;2.5;0;0;0;0
TU1167;transcript;1394;1;0;0;0.5;2.5;7.5;20.5;47.5;31;18;15.5;4;11.5;3;4;2;0
TU1168;transcript;100;1;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0
TU1169;transcript;51;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TU117;transcript;494;1;0;0;0;0;0.5;6.5;4;4.5;2;3;2;0;1;0;0;0
TU1170;transcript;479;1;0;0;34.5;23.5;138.5;343.5;684;279;111;93.5;74;52.5;39;8;17;2
TU1171;transcript;1482;1;0;0;0;2;12;29;47.5;39;24.5;26;18;7;20;10;6;2
TU1172;transcript;100;1;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0
TU1173;transcript;145;1;0;0;0;0;6;5;7;1;1.5;4;5;1;2;0;0;0
TU1174;transcript;564;1;0;0;0;0;2;6;10;9;6;3;1;2;2;4;0;0
TU1175;transcript;330;1;0;0;1;0;0;0;0;1;4;0;0;0;0;0;0;0
TU1176;transcript;312;1;0;0;6;15;39;133;216;93;89;55;44;61;24;18;2;0
TU1177;transcript;111;1;0;0;0;0;0;2.5;0;0;0;2;0;0;0;0;0;0
TU1178;transcript;104;1;0;0;0;0;1;14.5;15;8;10.5;11;3;4.5;0;0;2;0
TU1179;transcript;406;1;0;0;0;1;6;11;36;21;9.5;20;9;10.5;4;0;0;0
TU118;transcript;536;1;0;0;0;0;0;4;4;9;2;2;0;2;0;0;0;0
TU1180;transcript;449;1;0;0;0;0;4;37;32;15;9;0;4;0;2;0;0;0
TU1181;transcript;140;1;0;0;0;0;0;0;1;2;1.5;0;1.5;2;0;0;0;0
TU1182;transcript;1302;1;0;0;2;0;3;23;37;24;16.5;7;4.5;8;0;4;0;0
TU1183;transcript;586;1;0;0;0;0;1;8;4;5;5;6;0;2;0;1;0;0
TU1184;transcript;1712;1;0;0;0;0;4;16;61.5;28.5;21;6.5;6;30;17;0;4;3
TU1185;transcript;892;1;0;0;1;2;4;10;41.5;14.5;9;12;9;14;4;0;4;0
TU1186;transcript;106;1;0;0;0;0;0;0;2.5;6.5;2;6;1;2;0;0;0;0
TU1187;transcript;1378;1;0.5;1;0;0;6;39;59;30.5;16;13;6;10;3;1;2;0
TU1188;transcript;703;1;0;0;0;0;9;15;53.5;36;10;21;8;4;0;2;0;0
TU1189;transcript;73;1;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0
TU119;transcript;6405;1;1;6;59.08;112.5;247;728;1474.42;724.83;527.67;480.33;294.83;304.83;174;111.83;84.33;29.5
TU1190;transcript;54;1;0;0;0;0;0;0;2.5;1;0.5;0;0;1;1;0;0;0
TU1191;transcript;1134;1;0;0;1;2;2;30;53.5;23;22.5;23;13;1;5;5;2;0
TU1192;transcript;653;1;0;0;0;0;0;4;1;9;0;4;4;0;0;0;2;0
TU1193;transcript;1522;1;0;0;0;0;2;10;12;9;2;2;0;0;2;0;0;0
TU1194;transcript;102;1;0;0;0;0;0;3;0;5;2;0;0;3;0;0;0;0
TU1195;transcript;812;1;0;0;0;2;3;2;8;9;3;4;0;6;2;4;2;0
TU1196;transcript;1916;1;0;4;7.5;56;454;1802.5;3767;1753.5;863;503;328;189;119;77;80;12
TU1197;transcript;137;1;0;0;0;0;0;4;0;2;1;0;1;0;0;0;0;0
TU1198;transcript;191;1;0;0;0;0;0;0;3;5;5;0;0;2;0;0;0;0
TU1199;transcript;102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TU12;transcript;373;1;1;0;0;0;0;1;0.5;1;2.5;0;1;0.5;0;0;0;0
TU120;transcript;200;1;0;0;0;0;0;2;4;1;0;3;1;0;0;0;0;0
TU1200;transcript;5153;1;2;0;7.5;16;49;147;343.5;160;136.5;120;73;55;40;21;11;3
TU1201;transcript;322;1;0;0;0;0;0;6;4;0;3;2;0;0;0;0;0;0
TU1202;transcript;374;1;0;0;0;0;0;0;2;7;2;0;0;2;0;0;2;0
TU1203;transcript;458;1;0;2;15;21;43.5;201;356.5;174.5;167;120;117;73;37;8.5;10;0.5
TU1204;transcript;938;1;0;0;3;0;17;69;126;63;33;15;13;14;9;4;1;0
TU1205;transcript;503;1;0;0;0;0;1.5;0;4;1.5;5.5;1;4;3;2;2.5;0;0.5
TU1206;transcript;147;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
TU1207;transcript;339;1;0;0;0;0;0;2;7;2;0;2;0;0;0;0;0;0
TU1208;transcript;151;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
TU1209;transcript;215;1;0;0;0;0;0;1;0;2;2;0;2;0;0;0;0;0
TU121;transcript;171;1;0;0;2;2;12;24;55;15;2;9;11;0;2;4;0;0
TU1210;transcript;100;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0
TU1211;transcript;102;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TU1212;transcript;168;1;0;0;0;0;2;0;2;0;1;1;0;0;0;0;0;0
TU1213;transcript;100;1;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
TU1214;transcript;100;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TU1215;transcript;636;1;0;0;0.5;0;0;5;2;1;6;0;0;4;0;2;0;0
TU1216;transcript;675;1;0;0;1;4;4;7;14;5;10;2;0;2;0;0;2;0
TU1217;transcript;102;1;0;0;2;0;0;2;1;0;0;0;0;0;0;0;0;0
TU1218;transcript;100;1;0;0;0;0;0;0;1;0;4;0;2;0;0;0;0;0
TU1219;transcript;853;1;0;0;0;0;2;13;15;20;23;8;11;6;3;4;11;0
TU122;transcript;2833;1;0;0.5;0;0;5;16;40;20;15;22;6;7;2;0;2.5;0
TU1220;transcript;1425;1;0;0;0;0;0;3;5;1;5;0;1;0;2;0;0;1
TU1221;transcript;251;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TU1222;transcript;85;1;0;0;0;0;0;0;1;0;0;0;0.5;0;0;0;0;0
TU1223;transcript;3874;1;0;0;0;2;9;62;99;53;37;28;12.5;13;8;2;2;0
TU1224;transcript;6000;1;0;4;6.5;9.33;115.33;381;866;304;223;143;75;57;32;19;19;4
TU1225;transcript;177;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
TU1226;transcript;100;1;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0
TU1227;transcript;8933;1;0;4;7.5;23;119;391;777;316;251;151;97.5;100;31;23;24;0
TU1228;transcript;100;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
TU1229;transcript;94;1;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0
TU123;transcript;2294;1;0;0;0;1;5;11;16;6;2;6;0;3;6;0;2;0
TU1230;transcript;1433;1;0;0;0.25;0;0;2.55;0.93;7.02;4.37;1.93;0.89;0.09;0;0;0;0
TU1231;transcript;1552;1;0;0;0;0;0;4.89;9.08;4.3;8.86;5.46;2.18;1.35;0.17;0.18;0;0
TU1232;transcript;2422;1;0;0;0;0;2.1;5;11.5;9.24;7.11;3.24;2;2;0.12;0;0;0
TU1233;transcript;1779;1;0;0;1;0;0;6;12.5;15;8;9;0;0;0;2;0;0
TU1234;transcript;102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TU1235;transcript;1483;1;0;0;0;2;12;20;62;40;27;19;12;10;6;4.5;0;0
TU1236;transcript;544;1;0;0;0;1;2;0.5;9;0;3;7;0;1;0;2;0;0
TU1237;transcript;2633;1;0;0;2;0;6;41.5;89;48.5;34;19;20;15.5;6.5;8;6;2
TU1238;transcript;111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TU1239;transcript;722;1;0;0;1;4;21;84.5;138;58.5;69;69;46.5;42.5;24.5;15;16;0
TU124;transcript;624;1;0;0;0.5;0;0;6;8.33;4;7;10;12;4;2;0;1.5;0
TU1240;transcript;180;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TU1241;transcript;225;1;0;0;0;0;0;0.67;12.5;5.33;0.5;2;2;0;0;0;0;0
TU1242;transcript;1324;1;0;0;0;1;4;14;31;9;9;4;0;0;2;0;0;0
TU1243;transcript;206;1;0;0;0;0;0;4;4;0;0;0;2;3;0;0;0;0
TU1244;transcript;660;1;0;0;10;8;13;67;101;54;43;26;13;9;2;4;0;0
TU1245;transcript;1115;1;0;0;0;0;0;7;12;7;3;5;0;1;0;2;0;0
TU1246;transcript;1422;1;0;0;2;1;20;52;92;55;27;14;14;6;9;10;6;0
TU1247;transcript;186;1;0;0;0;0;0;4;11;3;8;0;2;5;0;0;0;0
TU1248;transcript;1399;1;0;0;0;0;0;0;15;13;13.25;0;2;5;0;0;0;0
TU1249;transcript;4803;1;0;0.5;0;2;3;64;115;94.33;68;34;20;24;7;10;11;3
TU125;transcript;994;1;0;0;0;0;0;2;14;3;4;3;2;2;0;1;0;0
TU1250;transcript;100;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
TU1251;transcript;398;1;0;0;0;0;1.5;8;3;0;6;1;0;0;0;0;0;0
TU1252;transcript;749;1;0;1;0;0;0;3;0;3;1;0;1;2;0;0;0;0
TU1253;transcript;829;1;0;0;0;0;0;10;24;13;9;6;4;5;2;0;0;0
