Cluster;Reproducibility;Log2.Abundance.;Average.Spearmann.Correlation.Coefficient.between.Replicates;PearsonCorrCoeff_to_ME;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F1415;F1617;F18;Maximum.Fraction;Average.Fraction;No.of.peaks;Peak.fractions;Feature.Type;Feature.Subtype;Amino.Acid.Sequence.Length;locustag_ID;locustag;genename_1;TU;annotation..cyanobase.;GO.NAME;GOT_DNA_RNA_Nucleotide;Gene_ID_IndMode;location
8;All Replicates;16.137;0.853;-1;0;0;0.007;0.124;0.447;0.218;0.119;0.019;0.017;0.006;0.007;0.004;0.003;0.003;0.004;0.023;5;5.9351;1;5;RNA;transcript;NA;6803t26;6803t26;6803t26;TU2321;tRNA;transcript;;TU2321 (6803t26) - Transcr Unit;Chr
8;All Replicates;11.305;0.891;-1;0;0.001;0.039;0.133;0.412;0.187;0.105;0.022;0.022;0.007;0.01;0.005;0.006;0.005;0.007;0.04;5;6.1576;1;5;RNA;transcript;NA;6803t28;6803t28;6803t28;TU2505;tRNA;transcript;;TU2505 (6803t28) - Transcr Unit;Chr
8;All Replicates;14.252;0.918;-1;0;0;0.004;0.111;0.482;0.281;0.075;0.018;0.012;0.005;0.004;0.002;0.002;0.001;0.001;0.003;5;5.5464;1;5;RNA;transcript;NA;6803t31;6803t31;6803t31;TU2613;tRNA;transcript;;TU2613 (6803t31) - Transcr Unit;Chr
9;All Replicates;12.653;0.895;-1;0;0;0.002;0.043;0.342;0.247;0.173;0.034;0.027;0.013;0.014;0.008;0.007;0.006;0.008;0.076;5;7.1476;2;5, 18;RNA;transcript;NA;6803t32;6803t32;6803t32;TU2719;tRNA;transcript;;TU2719 (6803t32) - Transcr Unit;Chr
8;All Replicates;13.408;0.881;-1;0;0;0.024;0.217;0.486;0.187;0.056;0.006;0.004;0.002;0.003;0.002;0.002;0.001;0.002;0.009;5;5.2691;1;5;RNA;transcript;NA;6803t33;6803t33;6803t33;TU2792;tRNA;transcript;;TU2792 (6803t33) - Transcr Unit;Chr
10;All Replicates;13.444;0.918;-1;0;0;0.001;0.008;0.074;0.164;0.295;0.16;0.085;0.086;0.06;0.03;0.02;0.005;0.005;0.006;7;7.9181;2;7, 10;RNA;transcript;NA;6803t34, slr0915, slr0917;6803t34, slr0915, slr0917;6803t34, slr0915, bioF;TU2935;tRNA-OTHER, putative endonuclease, 7-keto-8-aminopelargonic acid synthetase;transcript;;TU2935 (6803t34, slr0915, slr0917) - Transcr Unit;Chr
8;All Replicates;15.956;0.896;-1;0;0;0.005;0.13;0.45;0.24;0.096;0.031;0.018;0.01;0.004;0.002;0.002;0.001;0.003;0.007;5;5.7056;1;5;RNA;transcript;NA;6803t37, 6803t38;6803t37, 6803t38;6803t37, 6803t38;TU3394;tRNA-OTHER, tRNA-OTHER;transcript;;TU3394 (6803t37, 6803t38) - Transcr Unit;Chr
8;All Replicates;12.249;0.907;-1;0;0;0.004;0.1;0.447;0.274;0.104;0.033;0.016;0.009;0.005;0.002;0.002;0.001;0.001;0.002;5;5.6901;1;5;RNA;transcript;NA;6803t39;6803t39;6803t39;TU3465;tRNA;transcript;;TU3465 (6803t39) - Transcr Unit;Chr
8;All Replicates;16.065;0.827;-1;0;0;0.007;0.158;0.536;0.231;0.051;0.005;0.003;0.002;0.002;0.001;0.001;0;0.001;0.002;5;5.2662;1;5;RNA;transcript;NA;6803t41;6803t41;6803t41;TU3514;tRNA;transcript;;TU3514 (6803t41) - Transcr Unit;Chr
10;All Replicates;2.323;0.247;-1;0;0.002;0.013;0.056;0;0.133;0.066;0.102;0.1;0.174;0.135;0.092;0.036;0.037;0.055;0;10;9.4713;3;6, 8, 10;RNA;transcript;NA;sll0869;sll0869;aat;TU1192;Leu/Phe-tRNA-protein transferase;transcript;;TU1192 (sll0869) - Transcr Unit;Chr
10;All Replicates;4.229;0.682;0.907;0;0;0.006;0.058;0.135;0.119;0.189;0.077;0.08;0.093;0.074;0.021;0.047;0.045;0.029;0.027;7;8.5272;3;5, 7, 10;RNA;mRNA;NA;sll0728;sll0728;accA;TU3600;acetyl-CoA carboxylase alpha subunit;acetyl-CoA carboxylase activity, fatty acid biosynthetic process, acetyl-CoA carboxylase complex, ligase activity, transferase activity, lipid metabolic process, cytoplasm, nucleotide binding, ATP binding, fatty acid metabolic process, malonyl-CoA biosynthetic process, carboxyl- or carbamoyltransferase activity,;;accA/sll0728 (mRNA / CDS) - TU3600;Chr
10;All Replicates;27.668;0.827;0.869;0.001;0.007;0.059;0.218;0.059;0.048;0.372;0.216;0.011;0.004;0.002;0.001;0;0;0;0.002;7;6.189;2;4, 7;Protein;Protein;326;sll0728;sll0728;accA;TU3600;acetyl-CoA carboxylase alpha subunit;acetyl-CoA carboxylase activity, fatty acid biosynthetic process, acetyl-CoA carboxylase complex, ligase activity, transferase activity, lipid metabolic process, cytoplasm, nucleotide binding, ATP binding, fatty acid metabolic process, malonyl-CoA biosynthetic process, carboxyl- or carbamoyltransferase activity,;Nucleotide;accA/sll0728 (Protein) - TU3600;Chr
10;All Replicates;4.472;0.712;-1;0;0;0.005;0.052;0.125;0.146;0.181;0.071;0.082;0.104;0.074;0.021;0.046;0.039;0.029;0.027;7;8.5218;2;7, 10;RNA;transcript;NA;sll0728, sll0729;sll0728, sll0729;accA, sll0729;TU3600;acetyl-CoA carboxylase alpha subunit, probable DNA methyltransferase;transcript;;TU3600 (sll0728, sll0729) - Transcr Unit;Chr
10;All Replicates;4.089;0.775;0.924;0;0.001;0.002;0.019;0.022;0.162;0.246;0.157;0.108;0.068;0.055;0.031;0.037;0.051;0.04;0;7;8.6569;1;7;RNA;mRNA;NA;slr0435;slr0435;accB;TU2674;biotin carboxyl carrier protein of acetyl-CoA carboxylase;NA;;accB/slr0435 (mRNA / CDS) - TU2674;Chr
11;All Replicates;30.608;0.926;0.969;0.002;0.043;0.103;0.03;0.01;0.043;0.22;0.366;0.129;0.043;0.008;0.002;0.001;0;0;0;8;7.0112;2;3, 8;Protein;Protein;154;slr0435;slr0435;accB;TU2674;biotin carboxyl carrier protein of acetyl-CoA carboxylase;NA;No_GO;accB/slr0435 (Protein) - TU2674;Chr
10;All Replicates;3.684;0.337;0.779;0.002;0.001;0.011;0.073;0.182;0.164;0.137;0.056;0.081;0.068;0.046;0.029;0.063;0.025;0.008;0.054;5;8.1691;3;5, 9, 13;RNA;mRNA;NA;sll0053;sll0053;accC;TU2735;biotin carboxylase;NA;;accC/sll0053 (mRNA / CDS) - TU2735;Chr
8;All Replicates;28.278;0.888;0.909;0.001;0.003;0.025;0.169;0.224;0.219;0.215;0.09;0.021;0.02;0.009;0.001;0.001;0;0;0.001;5;5.9555;1;5;Protein;Protein;448;sll0053;sll0053;accC;TU2735;biotin carboxylase;NA;No_GO;accC/sll0053 (Protein) - TU2735;Chr
10;All Replicates;3.816;0.382;-1;0.002;0.002;0.011;0.084;0.171;0.161;0.15;0.058;0.073;0.069;0.046;0.031;0.06;0.022;0.007;0.052;5;8.0989;2;5, 9;RNA;transcript;NA;sll0053;sll0053;accC;TU2735;biotin carboxylase;transcript;;TU2735 (sll0053) - Transcr Unit;Chr
10;All Replicates;4.432;0.825;0.851;0;0;0.002;0.041;0.075;0.137;0.249;0.103;0.062;0.051;0.049;0.028;0.037;0.02;0;0.147;7;9.2814;2;7, 18;RNA;mRNA;NA;sll0336;sll0336;accD, ycf11, zfpA;TU2461;acetyl-CoA carboxylase beta subunit;acetyl-CoA carboxylase activity, fatty acid biosynthetic process, acetyl-CoA carboxylase complex, cytoplasm, metal ion binding, fatty acid metabolic process, ATP binding, lipid metabolic process, nucleotide binding, transferase activity, malonyl-CoA biosynthetic process, zinc ion binding, carboxyl- or carbamoyltransferase activity,;;accD, ycf11, zfpA/sll0336 (mRNA / CDS) - TU2461;Chr
5;All Replicates;26.461;0.727;0.992;0;0.002;0.154;0.529;0.245;0.039;0.026;0.002;0.001;0;0;0;0;0;0;0.001;4;4.2726;1;4;Protein;Protein;326;sll0336;sll0336;accD, ycf11, zfpA;TU2461;acetyl-CoA carboxylase beta subunit;acetyl-CoA carboxylase activity, fatty acid biosynthetic process, acetyl-CoA carboxylase complex, cytoplasm, metal ion binding, fatty acid metabolic process, ATP binding, lipid metabolic process, nucleotide binding, transferase activity, malonyl-CoA biosynthetic process, zinc ion binding, carboxyl- or carbamoyltransferase activity,;Nucleotide;accD, ycf11, zfpA/sll0336 (Protein) - TU2461;Chr
10;All Replicates;4.564;0.813;-1;0;0;0.003;0.04;0.068;0.132;0.246;0.11;0.063;0.06;0.053;0.03;0.043;0.018;0;0.134;7;9.2437;2;7, 18;RNA;transcript;NA;sll0336;sll0336;accD/ycf11/zfpA;TU2461;acetyl-CoA carboxylase beta subunit;transcript;;TU2461 (sll0336) - Transcr Unit;Chr
17;All Replicates;3.252;0.504;0.747;0;0;0.005;0.072;0.06;0.049;0.065;0.078;0.09;0.161;0.056;0.054;0.067;0.01;0;0.234;18;10.8817;4;4, 10, 13, 18;RNA;mRNA;NA;sll1299;sll1299;ackA;TU673;acetate kinase;organic acid metabolic process, kinase activity, phosphorylation, phosphotransferase activity, carboxyl group as acceptor, acetate kinase activity, transferase activity, ATP binding, cytoplasm, nucleotide binding, metal ion binding, acetyl-CoA biosynthetic process, magnesium ion binding,;;ackA/sll1299 (mRNA / CDS) - TU673;Chr
6;All Replicates;27.539;0.885;0.999;0;0;0.071;0.464;0.311;0.118;0.018;0.003;0.011;0.004;0.001;0;0;0;0;0;4;4.6223;1;4;Protein;Protein;413;sll1299;sll1299;ackA;TU673;acetate kinase;organic acid metabolic process, kinase activity, phosphorylation, phosphotransferase activity, carboxyl group as acceptor, acetate kinase activity, transferase activity, ATP binding, cytoplasm, nucleotide binding, metal ion binding, acetyl-CoA biosynthetic process, magnesium ion binding,;Nucleotide;ackA/sll1299 (Protein) - TU673;Chr
10;All Replicates;7.551;0.888;0.991;0;0;0.002;0.014;0.1;0.193;0.267;0.116;0.052;0.053;0.058;0.04;0.041;0.026;0.014;0.023;7;8.195;1;7;RNA;mRNA;NA;slr0665;slr0665;acnB;TU3530;aconitate hydratase;tricarboxylic acid cycle, 2-methylisocitrate dehydratase activity, aconitate hydratase activity, mRNA 3'-UTR binding, mRNA binding, propionate catabolic process, 2-methylcitrate cycle, 4 iron, 4 sulfur cluster binding, cytosol, lyase activity, RNA binding, metal ion binding, iron-sulfur cluster binding,;;acnB/slr0665 (mRNA / CDS) - TU3530;Chr
8;All Replicates;33.103;0.948;0.993;0;0;0.001;0.121;0.444;0.31;0.091;0.02;0.006;0.005;0.002;0;0;0;0;0;5;5.4954;1;5;Protein;Protein;868;slr0665;slr0665;acnB;TU3530;aconitate hydratase;tricarboxylic acid cycle, 2-methylisocitrate dehydratase activity, aconitate hydratase activity, mRNA 3'-UTR binding, mRNA binding, propionate catabolic process, 2-methylcitrate cycle, 4 iron, 4 sulfur cluster binding, cytosol, lyase activity, RNA binding, metal ion binding, iron-sulfur cluster binding,;RNA;acnB/slr0665 (Protein) - TU3530;Chr
10;All Replicates;2.493;0.444;0.914;0;0;0;0.032;0.032;0.239;0.266;0.056;0.042;0.069;0.055;0.102;0.046;0;0.062;0;7;8.5335;3;7, 10, 12;RNA;mRNA;NA;ssl2084;ssl2084;acpP;TU823;acyl carrier protein;lipid A biosynthetic process, cytosol, acyl carrier activity, acyl binding, fatty acid biosynthetic process, cytoplasm, lipid metabolic process, fatty acid metabolic process,;;acp/ssl2084 (mRNA / CDS) - TU823;Chr
1;All Replicates;32.455;0.889;0.977;0.055;0.31;0.359;0.18;0.062;0.021;0.008;0.002;0.002;0;0;0;0;0;0;0;3;3.0093;1;3;Protein;Protein;77;ssl2084;ssl2084;acpP;TU823;acyl carrier protein;lipid A biosynthetic process, cytosol, acyl carrier activity, acyl binding, fatty acid biosynthetic process, cytoplasm, lipid metabolic process, fatty acid metabolic process,;No_GO;acpP/ssl2084 (Protein) - TU823;Chr
10;All Replicates;5.993;0.808;0.993;0;0;0.003;0.021;0.079;0.195;0.247;0.112;0.051;0.079;0.066;0.037;0.045;0.026;0.025;0.014;7;8.3395;2;7, 10;RNA;mRNA;NA;sll0542;sll0542;acs;TU2968;acetyl-coenzyme A synthetase;catalytic activity, acetate-CoA ligase activity, AMP binding, acetyl-CoA biosynthetic process from acetate, ATP binding, nucleotide binding, metal ion binding, ligase activity,;;acs/sll0542 (mRNA / CDS) - TU2968;Chr
8;All Replicates;32.612;0.961;0.99;0;0.001;0.006;0.171;0.396;0.264;0.098;0.039;0.014;0.007;0.002;0.001;0;0;0;0;5;5.5002;1;5;Protein;Protein;653;sll0542;sll0542;acs;TU2968;acetyl-coenzyme A synthetase;catalytic activity, acetate-CoA ligase activity, AMP binding, acetyl-CoA biosynthetic process from acetate, ATP binding, nucleotide binding, metal ion binding, ligase activity,;Nucleotide;acs/sll0542 (Protein) - TU2968;Chr
10;All Replicates;4.21;0.677;0.934;0;0;0;0.017;0.04;0.252;0.244;0.08;0.057;0.042;0.062;0.03;0.041;0.066;0.047;0.024;6;8.787;2;6, 14.5;RNA;3UTR;NA;sll0542-3UTR;sll0542;acs;TU2968;acetyl-coenzyme A synthetase;catalytic activity, acetate-CoA ligase activity, AMP binding, acetyl-CoA biosynthetic process from acetate, ATP binding, nucleotide binding, metal ion binding, ligase activity,;;sll0542-3UTR (3'UTR) - TU2968;Chr
10;All Replicates;2.365;0.629;0.688;0;0;0;0.039;0.061;0.017;0.251;0.112;0.106;0.173;0.104;0.046;0.047;0.045;0;0;7;8.8517;2;7, 10;RNA;mRNA;NA;sll1900;sll1900;act;TU1817;acetyltransferase;NA;;act/sll1900 (mRNA / CDS) - TU1817;Chr
7;All Replicates;26.811;0.722;0.978;0;0;0;0.328;0.559;0.109;0;0.002;0.001;0;0;0;0;0;0;0;5;4.7909;1;5;Protein;Protein;209;sll1900;sll1900;act;TU1817;acetyltransferase;NA;No_GO;act/sll1900 (Protein) - TU1817;Chr
10;All Replicates;2.165;0.375;0.618;0;0;0.021;0.036;0.209;0.144;0.082;0.16;0.116;0.073;0.112;0.019;0.01;0.018;0;0;5;7.5905;3;5, 8, 11;RNA;mRNA;NA;sll1059;sll1059;adk;TU72;adenylate kinase;nucleoside monophosphate phosphorylation, ATP binding, nucleobase-containing compound metabolic process, nucleobase-containing compound kinase activity, adenylate kinase activity, nucleotide binding, nucleotide biosynthetic process, cytoplasm, kinase activity, transferase activity, phosphorylation, AMP salvage,;;adk/sll1059 (mRNA / CDS) - TU72;Chr
2;All Replicates;29.941;0.902;0.99;0.002;0.185;0.577;0.182;0.044;0.006;0.003;0;0;0;0;0;0;0;0;0;3;3.1139;1;3;Protein;Protein;181;sll1059;sll1059;adk;TU72;adenylate kinase;nucleoside monophosphate phosphorylation, ATP binding, nucleobase-containing compound metabolic process, nucleobase-containing compound kinase activity, adenylate kinase activity, nucleotide binding, nucleotide biosynthetic process, cytoplasm, kinase activity, transferase activity, phosphorylation, AMP salvage,;Nucleotide;adk/sll1059 (Protein) - TU72;Chr
10;All Replicates;5.079;0.758;0.978;0;0;0.004;0.022;0.072;0.162;0.283;0.093;0.082;0.065;0.068;0.058;0.043;0.009;0.027;0.013;7;8.3482;2;7, 11;RNA;mRNA;NA;sll1815;sll1815;adk;TU836;adenylate kinase;nucleoside monophosphate phosphorylation, adenylate kinase activity, ATP binding, nucleobase-containing compound metabolic process, phosphotransferase activity, phosphate group as acceptor, nucleobase-containing compound kinase activity, kinase activity, cytoplasm, phosphorylation, nucleotide biosynthetic process, nucleotide binding, transferase activity, AMP salvage,;;adk/sll1815 (mRNA / CDS) - TU836;Chr
1;All Replicates;32.947;0.921;0.93;0.002;0.205;0.555;0.168;0.047;0.015;0.004;0.001;0.001;0.001;0;0;0;0;0;0;3;3.1326;1;3;Protein;Protein;187;sll1815;sll1815;adk;TU836;adenylate kinase;nucleoside monophosphate phosphorylation, adenylate kinase activity, ATP binding, nucleobase-containing compound metabolic process, phosphotransferase activity, phosphate group as acceptor, nucleobase-containing compound kinase activity, kinase activity, cytoplasm, phosphorylation, nucleotide biosynthetic process, nucleotide binding, transferase activity, AMP salvage,;Nucleotide;adk/sll1815 (Protein) - TU836;Chr
10;All Replicates;7.104;0.935;0.988;0;0;0.002;0.01;0.098;0.184;0.284;0.14;0.066;0.059;0.054;0.032;0.029;0.019;0.019;0.004;7;7.9473;1;7;RNA;mRNA;NA;sll1234;sll1234;ahcY;TU1699;adenosylhomocysteinase;S-adenosylmethionine cycle, cytosol, adenosylhomocysteinase activity, hydrolase activity, cytoplasm, one-carbon metabolic process,;;ahcY/sll1234 (mRNA / CDS) - TU1699;Chr
11;All Replicates;32.608;0.966;0.936;0;0;0.002;0.011;0.033;0.113;0.386;0.336;0.08;0.03;0.007;0.001;0;0;0;0;7;7.4056;1;7;Protein;Protein;425;sll1234;sll1234;ahcY;TU1699;adenosylhomocysteinase;S-adenosylmethionine cycle, cytosol, adenosylhomocysteinase activity, hydrolase activity, cytoplasm, one-carbon metabolic process,;No_GO;ahcY/sll1234 (Protein) - TU1699;Chr
10;All Replicates;3.919;0.863;0.93;0;0;0.001;0.007;0.141;0.234;0.194;0.13;0.071;0.066;0.051;0.014;0.016;0.002;0.02;0.054;6;8.0914;1;6;RNA;3UTR;NA;sll1234-3UTR;sll1234;ahcY;TU1699;adenosylhomocysteinase;S-adenosylmethionine cycle, cytosol, adenosylhomocysteinase activity, hydrolase activity, cytoplasm, one-carbon metabolic process,;;sll1234-3UTR (3'UTR) - TU1699;Chr
10;All Replicates;5.781;0.799;0.991;0;0;0.005;0.035;0.104;0.197;0.237;0.091;0.071;0.094;0.059;0.035;0.037;0.013;0.007;0.017;7;7.978;2;7, 10;RNA;mRNA;NA;sll0362;sll0362;alaS;TU2220;alanyl-tRNA synthetase;amino acid binding, alanyl-tRNA aminoacylation, tRNA modification, cytosol, ATP binding, alanine-tRNA ligase activity, aminoacyl-tRNA editing activity, aminoacyl-tRNA metabolism involved in translational fidelity, nucleotide binding, nucleic acid binding, aminoacyl-tRNA ligase activity, cytoplasm, tRNA aminoacylation, metal ion binding, tRNA binding, RNA binding, ligase activity, translation, zinc ion binding,;;alaS/sll0362 (mRNA / CDS) - TU2220;Chr
9;All Replicates;30.386;0.88;0.749;0.094;0.096;0.094;0.089;0.175;0.221;0.153;0.055;0.013;0.006;0.002;0;0;0;0;0;6;4.855;2;2, 6;Protein;Protein;877;sll0362;sll0362;alaS;TU2220;alanyl-tRNA synthetase;amino acid binding, alanyl-tRNA aminoacylation, tRNA modification, cytosol, ATP binding, alanine-tRNA ligase activity, aminoacyl-tRNA editing activity, aminoacyl-tRNA metabolism involved in translational fidelity, nucleotide binding, nucleic acid binding, aminoacyl-tRNA ligase activity, cytoplasm, tRNA aminoacylation, metal ion binding, tRNA binding, RNA binding, ligase activity, translation, zinc ion binding,;RNA;alaS/sll0362 (Protein) - TU2220;Chr
10;All Replicates;5.857;0.823;-1;0;0;0.005;0.033;0.101;0.201;0.236;0.092;0.072;0.09;0.06;0.035;0.037;0.014;0.008;0.016;7;7.9811;2;7, 10;RNA;transcript;NA;sll0362;sll0362;alaS;TU2220;alanyl-tRNA synthetase;transcript;;TU2220 (sll0362) - Transcr Unit;Chr
