locustag;genename;annotation;KEGG Orthology;database;MainCategory;MainPathway;Category;undefined;Pathway;Complex/Type;Details;Summary
sll0574;rfbA;"sll0574 rfbA; integral membrane O-antigen translocator protein";"K09690 ABC-2.LPSE.P; lipopolysaccharide transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0606;NA;sll0606 unknown protein;"K01999 livK; branched-chain amino acid transport system substrate-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0616;secA;"sll0616 secA; preprotein translocase SecA subunit";"K03070 secA; preprotein translocase subunit SecA [EC:7.4.2.8]";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn03070;Membrane transport;Bacterial secretion system;;Environmental Information Processing - Membrane transport - Bacterial secretion system
sll0679;sphX;"sll0679 sphX; SphX protein precursor";"K02040 pstS; phosphate transport system substrate-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0680;pstS;"sll0680 pstS; phosphate-binding periplasmic protein precursor";"K02040 pstS; phosphate transport system substrate-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0681;pstC;"sll0681 pstC; phosphate transport system permease protein; PstC";"K02037 pstC; phosphate transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0682;pstA;"sll0682 pstA; phosphate transport system permease protein; PstA";"K02038 pstA; phosphate transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0683;NA;"sll0683 pstB; phosphate transport ATP-binding protein; PstB";"K02036 pstB; phosphate transport system ATP-binding protein [EC:7.3.2.1]";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0684;pstB;"sll0684 pstB; phosphate transport ATP-binding protein; PstB";"K02036 pstB; phosphate transport system ATP-binding protein [EC:7.3.2.1]";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0684,sll0683;pstB;"sll0684 pstB; phosphate transport ATP-binding protein; PstB";"K02036 pstB; phosphate transport system ATP-binding protein [EC:7.3.2.1]";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0689;Manually added;;;syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;Membrane transport;;Environmental Information Processing - Membrane transport - 
sll0738;modA;"sll0738 modA; molybdate-binding periplasmic protein";"K02020 modA; molybdate transport system substrate-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0739;;sll0739 ABC transporter;"K02017 modC; molybdate transport system ATP-binding protein [EC:7.3.2.5]";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0751;ycf22;"sll0751 ycf22; hypothetical protein";"K02067 mlaD; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll0752;Manually added;;;syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;Membrane transport;;Environmental Information Processing - Membrane transport - 
sll0764;urtD;"sll0764 livG; high-affinity branched-chain amino acid transport ATP-binding protein";"K11962 urtD; urea transport system ATP-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll1001;NA;sll1001 ABC transporter;"K02065 mlaF; phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll1002;ycf22;"sll1002 ycf22; hypothetical protein";"K02067 mlaD; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll1041;cysA;sll1041 ABC transporter;"K02065 mlaF; phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll1076;Manually added;;;syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;Membrane transport;;Environmental Information Processing - Membrane transport - 
sll1263;Manually added;;;syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;Membrane transport;;Environmental Information Processing - Membrane transport - 
sll1270;bgtB;"sll1270 glnH_glnP; glutamine-binding periplasmic protein/glutamine transport system permease protein";"K17062 bgtB; arginine/lysine/histidine/glutamine transport system substrate-binding and permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll1450;nrtA;"sll1450 nrtA; nitrate transport 45kD protein";"K15576 nrtA; nitrate/nitrite transport system substrate-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll1451;nrtB;"sll1451 nrtB; nitrate transport protein; NrtB";"K15577 nrtB; nitrate/nitrite transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll1452;nrtC;"sll1452 nrtC; nitrate transport protein; NrtC";"K15578 nrtC; nitrate/nitrite transport system ATP-binding protein [EC:3.6.3.-]";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll1453;nrtD;"sll1453 nrtD; nitrate transport protein; NrtD";"K15579 nrtD; nitrate/nitrite transport system ATP-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll1598;Not in dataset;"sll1598 mntC; Mn transporter; MntC";"K11601 mntC; manganese transport system substrate-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll1599;mntA;"sll1599 mntA; Mn transporter; MntA";"K11603 mntA; manganese transport system ATP-binding protein [EC:7.2.2.5]";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll1600;Not in dataset;"sll1600 mntB; Mn transporter; MntB";"K11602 mntB; manganese transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll1614;Manually added;;;syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;Membrane transport;;Environmental Information Processing - Membrane transport - 
sll1623;NA;sll1623 ABC transporter;"K16786 ecfA1; energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll1734;Manually added;;;syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;Membrane transport;;Environmental Information Processing - Membrane transport - 
sll1770;Manually added;;;syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;Membrane transport;;Environmental Information Processing - Membrane transport - 
sll1814;secY;"sll1814 secY; preprotein translocase SecY subunit";"K03076 secY; preprotein translocase subunit SecY";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn03070;Membrane transport;Bacterial secretion system;;Environmental Information Processing - Membrane transport - Bacterial secretion system
sll1870;NA;sll1870 ABC transporter;"K02071 metN; D-methionine transport system ATP-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll1878;NA;sll1878 ABC transporter;"K02010 afuC; iron(III) transport system ATP-binding protein [EC:7.2.2.7]";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
sll1920;Manually added;;;syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;Membrane transport;;Environmental Information Processing - Membrane transport - 
slr0040;cmpA;"slr0040 cmpA; bicarbonate transporter";"K11950 cmpA; bicarbonate transport system substrate-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr0041;cmpB;"slr0041 cmpB; unknown protein";"K11951 cmpB; bicarbonate transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr0043;cmpC;"slr0043 nrtC; nitrate transport protein; NrtC";"K11952 cmpC; bicarbonate transport system ATP-binding protein [EC:3.6.3.-]";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr0044;cmpD;"slr0044 nrtD; nitrate transport protein; NrtD";"K11953 cmpD; bicarbonate transport system ATP-binding protein [EC:3.6.3.-]";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr0251;ycf85;slr0251 ABC transporter;"K06861 lptB; lipopolysaccharide export system ATP-binding protein [EC:3.6.3.-]";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr0327;hitB;"slr0327 hitB; iron utilization protein";"K02011 afuB; iron(III) transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr0354;NA;slr0354 ABC transporter;"K16787 ecfA2; energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr0415;Manually added;;;syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;Membrane transport;;Environmental Information Processing - Membrane transport - 
slr0447;urtA;"slr0447 amiC; negative aliphatic amidase regulator";"K11959 urtA; urea transport system substrate-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr0467;natA;"slr0467 natA; conserved component of ABC transporter for natural amino acids";"K11957 natA; neutral amino acid transport system ATP-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr0513;futA2;slr0513 periplasmic iron-binding protein;"K02012 afuA; iron(III) transport system substrate-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr0529;ggtB;slr0529 unknown protein;"K10232 aglE; alpha-glucoside transport system substrate-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr0530;;slr0530 membrane bound sugar transport protein;"K10233 aglF; alpha-glucoside transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr0531;;slr0531 membrane bound sugar transport protein;"K10234 aglG; alpha-glucoside transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr0559;natB;"slr0559 natB; periplasmic binding protein of ABC transporter for natural amino acids";"K11954 natB; neutral amino acid transport system substrate-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr0615;NA;slr0615 ABC transporter;"K18889 mdlA; ATP-binding cassette, subfamily B, multidrug efflux pump";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr0678;Manually added;;;syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;Membrane transport;;Environmental Information Processing - Membrane transport - 
slr0747;ggtA;"slr0747 ggtA; ATP-binding subunit of an ABC-type osmolyte transporter";"K10112 msmX; multiple sugar transport system ATP-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr0774;secD;"slr0774 secD; protein-export membrane protein; SecD";"K03072 secD; preprotein translocase subunit SecD";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn03070;Membrane transport;Bacterial secretion system;;Environmental Information Processing - Membrane transport - Bacterial secretion system
slr0775;secF;"slr0775 secF; protein-export membrane protein; SecF";"K03074 secF; preprotein translocase subunit SecF";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn03070;Membrane transport;Bacterial secretion system;;Environmental Information Processing - Membrane transport - Bacterial secretion system
slr0882;ycf84;slr0882 unknown protein;"K11720 lptG; lipopolysaccharide export system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr0889;Manually added;;;syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;Membrane transport;;Environmental Information Processing - Membrane transport - 
slr0949;natD;"slr0949 livH; high-affinity branched-chain amino acid transport permease protein";"K11956 natD; neutral amino acid transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr0977;NA;slr0977 ABC transporter;"K09690 ABC-2.LPSE.P; lipopolysaccharide transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr0982;rfbB;"slr0982 rfbB; ABC transporter";"K09691 ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr1045;NA;slr1045 hypothetical protein;"K02066 mlaE; phospholipid/cholesterol/gamma-HCH transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr1045,slr1344;NA;slr1045 hypothetical protein;"K02066 mlaE; phospholipid/cholesterol/gamma-HCH transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr1046;NA;slr1046 hypothetical protein;"K03116 tatA; sec-independent protein translocase protein TatA";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn03070;Membrane transport;Bacterial secretion system;;Environmental Information Processing - Membrane transport - Bacterial secretion system
slr1149;NA;slr1149 ABC transporter;"K18890 mdlB; ATP-binding cassette, subfamily B, multidrug efflux pump";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr1200;livH;"slr1200 livH; high-affinity branched-chain amino acid transport protein";"K11960 urtB; urea transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr1201;NA;slr1201 unknown protein;"K11961 urtC; urea transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr1202;lacF;"slr1202 lacF; lactose transport system permease protein; LacF";"K17245 chiF; putative chitobiose transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr1224;malK;"slr1224 malK; cytoplasmic membrane protein for maltose uptake";"K10112 msmX; multiple sugar transport system ATP-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr1247;pstS;"slr1247 pstS; periplasmic phosphate binding protein";"K02040 pstS; phosphate transport system substrate-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr1248;pstC;"slr1248 pstC; phosphate transport system permease protein; PstC";"K02037 pstC; phosphate transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr1249;pstA;"slr1249 pstA; phosphate transport system permease protein; PstA";"K02038 pstA; phosphate transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr1250;pstB;"slr1250 pstB; phosphate transport ATP-binding protein; PstB";"K02036 pstB; phosphate transport system ATP-binding protein [EC:7.3.2.1]";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr1295;futA1;"slr1295 sufA; iron transport protein";"K02012 afuA; iron(III) transport system substrate-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr1302;Manually added;;;syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;Membrane transport;;Environmental Information Processing - Membrane transport - 
slr1344;NA;slr1344 hypothetical protein;"K02066 mlaE; phospholipid/cholesterol/gamma-HCH transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr1365;bioY;"slr1365 bioY; BioY protein";"K03523 bioY; biotin transport system substrate-specific component";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr1452;sbpA;"slr1452 sbpA; sulfate binding protein; SbpA";"K23163 sbp; sulfate/thiosulfate transport system substrate-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr1453;Not in dataset;"slr1453 cysT; sulfate transport system permease protein";"K02046 cysU; sulfate/thiosulfate transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr1454;Not in dataset;"slr1454 cysW; sulfate transport system permease protein";"K02047 cysW; sulfate/thiosulfate transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr1455;cysA;"slr1455 cysA; sulfate transport system permease protein";"K02045 cysA; sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3]";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
